Order ID,Order Date,Ship Date,Year,Month,State,Region,Segment,Category,Sub-Category,Product Name,Sales,Cost,Profit,Quantity,Discount,Currency
OD-10000,17-10-2023,18-10-2023,2023,October,Florida,Central,Consumer,Furniture,Bookcases,Product_5,1486.12,1192.43,293.69,11,0.0,USD
OD-10001,02-02-2022,03-02-2022,2022,February,California,West,Home Office,Furniture,Chairs,Product_18,437.73,523.04,-85.31,11,0.3,USD
OD-10002,27-08-2023,30-08-2023,2023,August,Illinois,South,Corporate,Furniture,Chairs,Product_5,469.86,528.33,-58.47,13,0.2,USD
OD-10003,25-01-2023,26-01-2023,2023,January,Arizona,Central,Consumer,Technology,Accessories,Product_18,293.41,360.98,-67.57,15,0.3,USD
OD-10004,28-10-2022,04-11-2022,2022,October,Florida,Central,Home Office,Office Supplies,Art,Product_23,185.63,159.04,26.59,11,0.1,USD
OD-10005,23-03-2022,30-03-2022,2022,March,Arizona,South,Corporate,Furniture,Chairs,Product_21,1676.52,1779.09,-102.57,3,0.2,USD
OD-10006,18-11-2023,21-11-2023,2023,November,New York,East,Home Office,Office Supplies,Art,Product_18,1471.8,1700.13,-228.33,3,0.3,USD
OD-10007,18-10-2023,24-10-2023,2023,October,Florida,Central,Consumer,Office Supplies,Binders,Product_27,112.6,133.21,-20.61,6,0.3,USD
OD-10008,05-08-2022,10-08-2022,2022,August,Arizona,West,Home Office,Office Supplies,Paper,Product_13,1775.13,2155.51,-380.38,11,0.3,USD
OD-10009,23-05-2022,25-05-2022,2022,May,Ohio,Central,Home Office,Office Supplies,Art,Product_29,1187.89,951.11,236.78,6,0.1,USD
OD-10010,22-05-2022,27-05-2022,2022,May,New York,East,Consumer,Technology,Phones,Product_21,361.96,398.48,-36.52,11,0.3,USD
OD-10011,30-01-2023,03-02-2023,2023,January,California,Central,Home Office,Office Supplies,Paper,Product_22,1455.41,1394.06,61.35,11,0.2,USD
OD-10012,15-12-2022,16-12-2022,2022,December,California,West,Corporate,Technology,Accessories,Product_24,1757.91,1622.69,135.22,5,0.1,USD
OD-10013,19-04-2022,26-04-2022,2022,April,Washington,West,Consumer,Office Supplies,Paper,Product_25,365.02,292.11,72.91,13,0.0,USD
OD-10014,16-05-2023,17-05-2023,2023,May,California,Central,Consumer,Furniture,Tables,Product_8,1762.12,1351.59,410.53,2,0.0,USD
OD-10015,15-04-2024,16-04-2024,2024,April,Arizona,West,Home Office,Office Supplies,Binders,Product_18,372.0,375.31,-3.31,9,0.3,USD
OD-10016,07-07-2023,14-07-2023,2023,July,Illinois,West,Home Office,Office Supplies,Art,Product_13,1990.54,2071.11,-80.57,11,0.2,USD
